station_name,latitude,longitude,total_ridership,total_crimes,crimes_per_week,crimes_per_day,weekday_total,weekend_total,weekday_crimes_per_day,weekend_crimes_per_day,weekend_multiplier,late_night_total,late_night_pct,late_night_crimes_per_day,event_proxy_total,event_proxy_pct,event_proxy_multiplier,risk_category,distance_to_bmo,distance_to_scotiabank,distance_to_rogers,is_near_bmo,is_near_scotiabank,is_near_rogers,venue_category
SPADINA,43.66712906,-79.40459604,39080.0,918,2.206730769230769,0.31438356164383563,625,293,0.3004807692307692,0.35216346153846156,1.1720000000000002,251,27.342047930283226,0.08595890410958903,68,7.4074074074074066,1.037037037037037,Medium,3.944366675058408,3.3332651921646392,3.1112055734228,False,False,False,Other
QUEEN,43.65247044,-79.3781187,36714.0,3063,7.362980769230769,1.048972602739726,2184,879,1.05,1.0564903846153846,1.0061813186813187,535,17.466536075742738,0.1832191780821918,295,9.631080639895528,1.348351289585374,Critical,3.9191857798256593,1.000587428658783,1.5294573006804897,False,True,True,Downtown Events
KING,43.6491138,-79.37751988,35107.0,1239,2.9783653846153846,0.4243150684931507,894,345,0.42980769230769234,0.41466346153846156,0.964765100671141,313,25.262308313155774,0.10719178082191781,92,7.425343018563357,1.03954802259887,Medium,3.770804517750159,0.6370422076775798,1.2843242369585377,False,True,True,Downtown Events
ST ANDREW,43.64745937,-79.38515665,34576.0,1318,3.168269230769231,0.45136986301369864,892,426,0.4288461538461538,0.5120192307692307,1.1939461883408071,459,34.825493171471926,0.15719178082191781,112,8.49772382397572,1.189681335356601,High,3.1443723909488925,0.6567565229597457,0.7553469222758382,False,True,True,Downtown Events
PAPE,43.67989591,-79.34501561,34506.0,630,1.5144230769230769,0.21575342465753425,452,178,0.2173076923076923,0.21394230769230768,0.9845132743362831,162,25.71428571428571,0.05547945205479452,50,7.936507936507936,1.1111111111111112,Medium,7.892420051615245,4.888355770707922,5.574133573575121,False,False,False,Other
QUEENS PARK,43.65981315,-79.39007445,34444.0,510,1.2259615384615385,0.17465753424657535,374,136,0.1798076923076923,0.16346153846153846,0.9090909090909091,98,19.215686274509807,0.03356164383561644,36,7.0588235294117645,0.9882352941176471,Medium,3.759863960386284,2.0174185226099692,2.0481678193809967,False,False,False,Other
VICTORIA PARK,43.69454357,-79.28915706,32276.0,1431,3.4399038461538463,0.49006849315068496,1064,367,0.5115384615384615,0.4411057692307692,0.862312030075188,321,22.431865828092242,0.10993150684931507,129,9.014675052410901,1.2620545073375262,High,12.467748080235772,9.195065638485453,9.996473422693334,False,False,False,Other
BATHURST,43.66618465,-79.41129647,30598.0,725,1.7427884615384615,0.2482876712328767,527,198,0.2533653846153846,0.23798076923076922,0.9392789373814042,161,22.206896551724135,0.055136986301369866,51,7.03448275862069,0.9848275862068967,Medium,3.71839554787279,3.6155072936732946,3.270846691501495,False,False,False,Other
DON MILLS,43.77542278,-79.34661547,28709.0,1148,2.7596153846153846,0.39315068493150684,849,299,0.4081730769230769,0.359375,0.8804475853945819,190,16.550522648083625,0.06506849315068493,115,10.017421602787456,1.402439024390244,Medium,16.848126570970688,14.8997059876952,15.294300229626783,False,False,False,Other
ST CLAIR,43.68812105,-79.39298707,27336.0,627,1.5072115384615385,0.21472602739726027,463,164,0.22259615384615383,0.1971153846153846,0.8855291576673866,151,24.082934609250398,0.05171232876712329,57,9.090909090909092,1.272727272727273,Medium,6.452901630384038,5.085818840185152,5.203150081665816,False,False,False,Other
DUFFERIN,43.66008769,-79.4355881,26800.0,711,1.7091346153846154,0.24349315068493152,510,201,0.24519230769230768,0.24158653846153846,0.9852941176470589,151,21.237693389592124,0.05171232876712329,64,9.0014064697609,1.260196905766526,Medium,3.2774596632083384,4.90476825300559,4.257646871184249,False,False,False,Other
ISLINGTON,43.6454226,-79.52407618,25023.0,546,1.3125,0.18698630136986302,401,145,0.19278846153846155,0.17427884615384615,0.9039900249376558,113,20.695970695970693,0.0386986301369863,46,8.424908424908425,1.1794871794871795,Medium,8.57212162555212,11.667423212713125,10.846094764956916,False,False,False,Other
SHERBOURNE,43.67204089,-79.37644649,24689.0,1665,4.002403846153846,0.5702054794520548,1183,482,0.56875,0.5793269230769231,1.0185967878275572,415,24.924924924924923,0.1421232876712329,155,9.30930930930931,1.3033033033033035,High,5.506262838741487,3.180773289216142,3.562913904776817,False,False,False,Other
ST PATRICK,43.65481796,-79.38802613,23989.0,1223,2.9399038461538463,0.41883561643835615,880,343,0.4230769230769231,0.41225961538461536,0.9744318181818181,263,21.504497138184792,0.09006849315068494,75,6.132461161079314,0.858544562551104,Medium,3.456864973489626,1.4490021897407044,1.4960984176081995,False,True,True,Downtown Events
