occurrence_date,crimes,z_score,is_leafs_season,is_jays_season
2022-02-06,35,2.691481272277899,True,False
2022-03-10,31,1.733859363669742,True,False
2022-03-12,34,2.1111824064973743,True,False
2022-04-25,30,1.5921369226347684,True,True
2022-05-11,34,2.154356827294006,True,True
2022-05-13,33,1.8268623631701955,True,True
2022-05-19,33,2.0955837029016426,True,True
2022-05-28,32,1.7767704511062985,True,True
2022-06-21,33,1.8712696424303146,False,True
2022-07-03,34,2.5035092227396083,False,True
2022-07-05,34,2.0347081166990826,False,True
2022-08-10,31,1.638740619813687,False,True
2022-08-21,30,1.7516210245864445,False,True
2022-08-23,36,2.3615850652366186,False,True
2022-09-08,31,1.733859363669742,False,True
2022-09-11,32,2.127565123663026,False,True
2022-09-15,31,1.733859363669742,False,True
2022-09-18,31,1.9395930741247354,False,True
2022-10-13,34,2.276445872517593,True,True
2022-10-25,35,2.1981465909678506,True,True
2022-10-31,33,2.1202413072924924,True,True
2022-11-25,35,2.155607856520313,True,False
2022-11-30,33,1.9824847581338996,True,False
2022-12-08,32,1.9147215332856922,True,False
2022-12-17,36,2.4455943618884506,True,False
2023-01-01,44,4.383229718122517,True,False
2023-01-03,40,3.0153389623116906,True,False
2023-01-05,36,2.6381702117494936,True,False
2023-01-06,44,3.6349625765958433,True,False
2023-01-07,35,2.2783883841929127,True,False
2023-01-08,39,3.4433694704310627,True,False
2023-01-09,37,2.824380486836125,True,False
2023-01-11,31,1.638740619813687,True,False
2023-01-12,34,2.276445872517593,True,False
2023-02-11,45,3.9504481611482927,True,False
2023-02-27,30,1.5921369226347684,True,False
2023-03-05,40,3.6313415199693537,True,False
2023-03-18,31,1.6095644734107606,True,False
2023-03-21,33,1.8712696424303146,True,False
2023-04-22,36,2.4455943618884506,True,True
2023-04-25,33,1.8712696424303146,True,True
2023-05-06,32,1.7767704511062985,True,True
2023-05-16,32,1.7078311681615463,True,True
2023-05-17,35,2.3262288964541122,True,True
2023-05-19,32,1.6624896164951366,True,True
2023-05-20,34,2.1111824064973743,True,True
2023-05-22,33,2.1202413072924924,True,True
2023-05-24,35,2.3262288964541122,True,True
2023-05-25,31,1.733859363669742,True,True
2023-06-04,32,2.127565123663026,False,True
2023-06-08,32,1.9147215332856922,False,True
2023-06-11,32,2.127565123663026,False,True
2023-06-21,38,2.8418451039344315,False,True
2023-07-03,31,1.7681717175206764,False,True
2023-07-12,34,2.154356827294006,False,True
2023-07-19,37,2.669973034774325,False,True
2023-07-23,32,2.127565123663026,False,True
2023-08-12,32,1.7767704511062985,False,True
2023-08-23,35,2.3262288964541122,False,True
2023-08-27,31,1.9395930741247354,False,True
2023-09-11,30,1.5921369226347684,False,True
2023-09-13,31,1.638740619813687,False,True
2023-09-14,31,1.733859363669742,False,True
2023-09-15,34,1.9912351098452545,False,True
2023-09-24,37,3.067425371354481,False,True
2023-09-26,31,1.5443926938927783,False,True
2023-10-02,33,2.1202413072924924,True,True
2023-10-03,32,1.7078311681615463,True,True
2023-10-05,33,2.0955837029016426,True,True
2023-10-11,34,2.154356827294006,True,True
2023-10-13,35,2.155607856520313,True,True
2023-10-18,31,1.638740619813687,True,True
2023-10-22,30,1.7516210245864445,True,True
2023-10-26,32,1.9147215332856922,True,True
2023-10-31,32,1.7078311681615463,True,True
2023-11-08,33,1.9824847581338996,True,False
2023-11-14,36,2.3615850652366186,True,False
2023-11-18,35,2.2783883841929127,True,False
2023-11-20,34,2.2962761021784006,True,False
2023-11-23,32,1.9147215332856922,True,False
2023-11-27,31,1.7681717175206764,True,False
2023-12-05,41,3.1787774365804586,True,False
2023-12-06,31,1.638740619813687,True,False
2023-12-08,34,1.9912351098452545,True,False
2023-12-10,31,1.9395930741247354,True,False
2023-12-20,36,2.498100965614219,True,False
2024-01-01,45,4.232658845923389,True,False
2024-01-03,34,2.154356827294006,True,False
2024-01-05,43,3.4705898299207845,True,False
2024-01-07,32,2.127565123663026,True,False
2024-01-08,30,1.5921369226347684,True,False
2024-01-09,33,1.8712696424303146,True,False
2024-01-10,31,1.638740619813687,True,False
2024-01-11,31,1.733859363669742,True,False
2024-01-12,33,1.8268623631701955,True,False
2024-01-15,33,2.1202413072924924,True,False
2024-01-19,42,3.3062170832457256,True,False
2024-01-26,33,1.8268623631701955,True,False
2024-02-08,35,2.457308042133543,True,False
2024-03-04,30,1.5921369226347684,True,False
2024-03-05,40,3.0153389623116906,True,False
2024-03-16,34,2.1111824064973743,True,False
2024-03-23,32,1.7767704511062985,True,False
2024-04-08,32,1.9442065124065844,True,True
2024-04-22,30,1.5921369226347684,True,True
2024-04-30,42,3.342215910849227,True,True
2024-05-05,31,1.9395930741247354,True,True
2024-05-17,32,1.6624896164951366,True,True
2024-05-28,31,1.5443926938927783,True,True
2024-06-05,31,1.638740619813687,False,True
2024-06-06,30,1.5529971940537914,False,True
2024-06-12,31,1.638740619813687,False,True
2024-06-14,41,3.1418443365706668,False,True
2024-06-17,30,1.5921369226347684,False,True
2024-06-19,34,2.154356827294006,False,True
2024-06-21,34,1.9912351098452545,False,True
2024-06-30,33,2.3155371732013172,False,True
2024-07-25,33,2.0955837029016426,False,True
2024-08-17,32,1.7767704511062985,False,True
2024-08-20,39,2.8519004880429226,False,True
2024-09-29,31,1.9395930741247354,False,True
2024-09-30,31,1.7681717175206764,False,True
2024-10-06,35,2.691481272277899,True,True
2024-10-19,34,2.1111824064973743,True,True
2024-10-22,32,1.7078311681615463,True,True
2024-10-25,32,1.6624896164951366,True,True
2024-11-25,30,1.5921369226347684,True,False
2024-12-16,34,2.2962761021784006,True,False
2025-01-01,31,1.638740619813687,True,False
2025-01-21,31,1.5443926938927783,True,False
2025-04-02,33,1.9824847581338996,True,True
2025-04-16,32,1.8106126889737932,True,True
2025-04-24,30,1.5529971940537914,True,True
2025-04-25,39,2.813098843220549,True,True
2025-06-01,29,1.5636489750481535,False,True
2025-06-20,32,1.6624896164951366,False,True
2025-06-28,32,1.7767704511062985,False,True
2025-07-07,31,1.7681717175206764,False,True
2025-07-08,31,1.5443926938927783,False,True
2025-07-23,31,1.638740619813687,False,True
2025-07-24,35,2.457308042133543,False,True
2025-08-03,29,1.5636489750481535,False,True
2025-08-07,30,1.5529971940537914,False,True
2025-12-02,31,1.5443926938927783,True,False
